"ID","SIRE.ID","DAM.ID","Sex","BYEAR"
8617,NA,NA,"F",2009
8618,NA,NA,"F",2009
8390,NA,NA,"F",2009
8244,NA,NA,"M",2009
8245,NA,NA,"M",2009
8334,NA,NA,"M",2009
8621,NA,NA,"M",2009
8321,NA,NA,"M",2010
8335,NA,NA,"M",2010
8294,NA,NA,"F",2009
8270,NA,NA,"F",2009
8322,NA,NA,"F",2009
8604,NA,NA,"M",2009
8419,NA,NA,"M",2009
8420,NA,NA,"F",2009
8623,NA,NA,"M",2009
8622,NA,NA,"M",2009
8626,NA,NA,"M",2009
6130,NA,NA,"M",2007
9191,NA,NA,"M",2010
9190,NA,NA,"M",2010
6149,NA,NA,"M",2007
8225,NA,NA,"M",2009
8598,NA,NA,"M",2009
7719,NA,NA,"F",2007
8571,NA,NA,"M",2009
8629,NA,NA,"M",2009
7953,NA,NA,"M",2008
8436,NA,NA,"F",2009
8495,NA,NA,"M",2010
8341,NA,NA,"M",2010
8344,NA,NA,"M",2010
7448,NA,NA,"M",2006
7990,NA,NA,"M",2008
8226,NA,NA,"M",2009
8497,NA,NA,"M",2010
5826,NA,NA,"M",2006
5510,NA,NA,"M",2005
5715,NA,NA,"F",2006
5726,NA,NA,"F",2006
5457,NA,NA,"M",2005
8220,NA,NA,"M",2007
8488,NA,NA,"M",2010
7512,NA,6887,"F",2007
5318,NA,5150,"M",2005
766,NA,8,"F",1991
1379,NA,919,"F",1993
1243,NA,NA,"F",1993
1247,NA,8,"F",1993
1885,NA,919,"F",1995
2906,NA,1235,"F",1998
2907,NA,1235,"F",1998
2855,NA,NA,"F",1998
7104,NA,6854,"F",2005
7102,NA,6854,"M",2005
4848,NA,4050,"F",2003
4849,NA,4050,"F",2003
4805,4000,NA,"F",2003
7153,6879,6887,"M",2005
7072,6899,6903,"M",2005
4496,NA,NA,"F",2002
6813,NA,6799,"F",2002
6812,NA,6799,"F",2002
6825,NA,6794,"M",2002
4543,NA,NA,"F",2002
4794,NA,NA,"F",2003
7076,NA,6903,"F",2005
4747,NA,2729,"F",2003
5072,NA,4051,"F",2004
6945,6833,6872,"F",2004
6944,6913,6872,"F",2004
4523,NA,2773,"F",2002
4549,NA,NA,"F",2002
7073,NA,6870,"F",2005
6822,NA,NA,"F",2002
5074,4029,4053,"F",2004
5075,4029,4053,"F",2004
4722,NA,NA,"F",2003
5064,NA,4041,"M",2004
5065,2704,4041,"F",2004
5066,2704,4041,"F",2004
5315,NA,NA,"M",2005
7160,NA,7028,"F",2005
7187,6990,7012,"M",2005
7188,NA,7012,"F",2005
7186,6990,7012,"M",2005
7195,6869,7019,"F",2005
5436,NA,4707,"F",2005
5438,NA,4707,"F",2005
5241,5142,NA,"F",2005
5426,NA,4051,"F",2005
5425,NA,4051,"F",2005
5427,NA,4051,"M",2005
5412,4413,4041,"M",2005
5501,4713,4706,"M",2005
5410,NA,4040,"F",2005
7194,NA,7019,"M",2005
5070,4013,4050,"M",2004
6931,6871,NA,"F",2004
6981,6909,6906,"M",2004
5352,NA,2432,"M",2005
7080,NA,6907,"F",2005
7079,6858,6907,"F",2005
5337,4712,5151,"F",2005
6934,6920,NA,"F",2004
6971,NA,6856,"M",2004
6974,6916,6856,"F",2004
6928,NA,6894,"F",2004
6978,6920,6854,"F",2004
6979,6908,6854,"M",2004
6935,6877,6917,"F",2004
6965,6868,NA,"M",2004
6925,NA,NA,"M",2004
6927,6835,6894,"F",2004
6929,6835,6894,"F",2004
5008,NA,2727,"F",2004
5094,NA,2727,"F",2004
5465,NA,NA,"M",2005
5789,5179,5171,"M",2006
7105,NA,6885,"M",2005
7315,6863,6914,"F",2006
7047,NA,6850,"M",2005
7310,6892,6854,"M",2006
7311,NA,6854,"F",2006
7294,6916,6907,"M",2006
7306,7036,7040,"M",2006
7264,7036,7035,"F",2006
7056,6858,6856,"M",2005
7086,6899,6865,"F",2005
7392,6879,6903,"F",2006
7573,7033,6874,"F",2007
5466,4006,NA,"M",2005
5942,5831,5497,"M",2007
5943,5831,5497,"M",2007
7407,NA,NA,"M",2006
7282,7014,6865,"M",2006
7288,6896,6865,"M",2006
7280,NA,6885,"F",2006
7614,NA,7247,"F",2007
7611,6923,7247,"F",2007
6026,NA,5171,"M",2007
6983,6909,6906,"M",2004
7660,6892,7422,"M",2007
7661,6904,7422,"F",2007
5905,5496,5488,"F",2007
5906,5498,5488,"M",2007
5949,NA,5486,"F",2007
5951,NA,5486,"F",2007
5945,5142,5476,"F",2007
7317,7033,6914,"F",2006
7813,NA,7211,"M",2008
7928,7448,NA,"F",2008
